,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
193,-2,103,52,25,20,30,0,45,11,104.3,188.8,67.2,56.2,2912,3,2,141,0,3.78,3.15,9.5,114,5400,23,28,12940
194,-1,74,52,25,20,30,3,45,11,104.3,188.8,67.2,57.5,3034,3,2,141,0,3.78,3.15,9.5,114,5400,23,28,13415
195,-2,103,52,25,20,30,0,45,11,104.3,188.8,67.2,56.2,2935,3,2,141,0,3.78,3.15,9.5,114,5400,24,28,15985
196,-1,74,52,25,20,30,3,45,11,104.3,188.8,67.2,57.5,3042,3,2,141,0,3.78,3.15,9.5,114,5400,24,28,16515
197,-2,103,52,25,21,30,0,45,11,104.3,188.8,67.2,56.2,3045,3,2,130,0,3.62,3.15,7.5,162,5100,17,22,18420
198,-1,74,52,25,21,30,3,45,11,104.3,188.8,67.2,57.5,3157,3,2,130,0,3.62,3.15,7.5,162,5100,17,22,18950
199,-1,95,52,25,20,30,0,45,11,109.1,188.8,68.9,55.5,2952,3,2,141,0,3.78,3.15,9.5,114,5400,23,28,16845
200,-1,95,52,25,21,30,0,45,11,109.1,188.8,68.8,55.5,3049,3,2,141,0,3.78,3.15,8.7,160,5300,19,25,19045
201,-1,95,52,25,20,30,0,45,11,109.1,188.8,68.9,55.5,3012,5,4,173,0,3.58,2.87,8.8,134,5500,18,23,21485
202,-1,95,52,24,21,30,0,45,11,109.1,188.8,68.9,55.5,3217,3,4,145,1,3.01,3.4,23.0,106,4800,26,27,22470
203,-1,95,52,25,21,30,0,45,11,109.1,188.8,68.9,55.5,3062,3,2,141,0,3.78,3.15,9.5,114,5400,19,25,22625
